Food;Quantity(g/ml);Quantity(item);Carbohydrates(g)
वफ़ल (व्यास 10x10);;1 इकाई;15 g
क्वेकर ओट्स (फ्लेक्स-ब्रेड);20 g;2 बड़ा चम्मच;15 g
स्पेशल K केलॉग का अनाज;20 g;0.333 कप;15 g
थेसालोनिकी बैगल;;0.5 इकाई;15 g
छोटे गोल नमकीन क्रैकर्स;;5 इकाई;15 g
क्रेप (व्यास 20cm);;0.5 इकाई;15 g
ब्रेडस्टिक्स (लंबाई 20cm, व्यास 1.2cm);;2 इकाई;15 g
ब्रेडस्टिक्स (लंबाई 10cm, व्यास 1.2cm);;4 इकाई;15 g
ब्रेडस्टिक्स (लंबाई 10cm, व्यास 0.6cm);;6 इकाई;15 g
क्राउटन;;1 कप;15 g
मफ़िन;;0.5 इकाई;15 g
क्रीम क्रैकर बिस्कुट;;2 इकाई;15 g
पेटिट ब्यूरे बिस्कुट;;2 इकाई;15 g
क्रिस्पिस रस्क;;2 इकाई;15 g
पाई (व्यास 15cm);;0.5 इकाई;15 g
डोरिटास कॉर्न चिप्स;25 g;;15 g
छोटे रस्क;;2 इकाई;15 g
मेल्बा टोस्ट (लंबाकार);;5 इकाई;15 g
ब्रेडक्रम्ब्स;;3 बड़ा चम्मच;15 g
सफेद ब्रेड (सभी प्रकार);30 g;1 स्लाइस;15 g
साबुत राई या जई की ब्रेड;30 g;1 स्लाइस;15 g
टोस्ट ब्रेड;;1 स्लाइस;15 g
हैमबर्गर बन;30 g;0.5 इकाई;15 g
हॉट डॉग बन;30 g;0.5 इकाई;15 g
आटा;20 g;2.5 बड़ा चम्मच;15 g
कूसकूस (पका हुआ);60 g;0.333 कप;15 g
कॉर्न फ्लेक्स;;0.5 कप;15 g
पास्ता-ओर्ज़ो-नूडल्स (पका हुआ);60 g;0.333 कप;15 g
गेहूं की भूसी (उबला हुआ);;3 बड़ा चम्मच;15 g
पॉपकॉर्न (माइक्रोवेव);;3 कप;15 g
चावल (पका हुआ) सफेद या भूरा;60 g;0.333 कप;15 g
कीवी;100 g;;15 g
अनानास (ताज़ा);100 g;;15 g
नाशपाती;110 g;;15 g
खुबानी;150 g;;15 g
चकोतरा;330 g;;15 g
आलूबुखारा (ताज़ा);140 g;;15 g
तरबूज;200 g;;15 g
चेरी;85 g;;15 g
आम;160 g;;15 g
कीनू;220 g;;15 g
सेब;120 g;;15 g
केला;120 g;;15 g
नेक्टरीन;140 g;;15 g
खरबूजा;280 g;;15 g
संतरा;118 g;;15 g
आड़ू;110 g;;15 g
किशमिश;17 g;;15 g
अंगूर;85 g;;15 g
स्ट्रॉबेरी;170 g;;15 g
खीरा;230 g;2 कप;5 g
आटिचोक (उबला हुआ);55 g;0.33 कप;5 g
गाजर (उबला हुआ);90 g;1.5 कप;5 g
गाजर (कच्चा);52 g;0.5 कप;5 g
तोरी (उबला हुआ);180 g;1 कप;5 g
प्याज (सूखा);55 g;0.333 कप;5 g
हरा प्याज;75 g;0.75 कप;5 g
फूलगोभी (उबला हुआ);120 g;1 कप;5 g
फूलगोभी (कच्चा);100 g;1 कप;5 g
सफेद पत्तागोभी (कच्चा);86 g;1.33 कप;5 g
सफेद पत्तागोभी (उबला हुआ);90 g;0.5 कप;5 g
लाल पत्तागोभी (कच्चा);70 g;1 कप;5 g
ब्रसेल्स स्प्राउट्स;55 g;0.333 कप;5 g
टमाटर;125 g;1 इकाई;5 g
मशरूम (कच्चा);98 g;0.5 कप;5 g
मशरूम (उबला हुआ);95 g;0.5 कप;5 g
सलाद पत्ता (कच्चा);135 g;1 कप;5 g
आइसबर्ग सलाद पत्ता (कच्चा);168 g;3 कप;5 g
बैंगन (भुना हुआ);57 g;0.5 कप;5 g
ब्रोकली (उबला हुआ);80 g;0.5 कप;5 g
भिंडी (उबला हुआ);70 g;0.5 कप;5 g
चुकंदर (उबला हुआ);50 g;1 इकाई;5 g
हरी शिमला मिर्च (कच्चा);110 g;1 इकाई;5 g
लाल शिमला मिर्च (कच्चा);82 g;0.5 कप;5 g
लीक (उबला हुआ);65 g;0.5 कप;5 g
मूली (कच्चा);;1 कप;5 g
सेलरी (उबला हुआ);125 g;0.75 कप;5 g
पालक (उबला हुआ);135 g;0.75 कप;5 g
एस्पेरेगस (उबला हुआ);120 g;8 इकाई;5 g
हरी सब्ज़ियां (उबला हुआ, सभी प्रकार);105 g;3/4 कप;5 g
पीली मटर दाल;75 g;0.5 कप;15 g
चना;75 g;0.5 कप;15 g
सेम;75 g;0.5 कप;15 g
मसूर दाल;75 g;0.5 कप;15 g
छिली हुई सेम (पका हुआ);75 g;0.333 कप;15 g
मटर (पका हुआ);100 g;0.5 कप;15 g
शकरकंद (बेक किया हुआ);;0.5 मध्यम इकाई;15 g
मक्का (उबला हुआ);;0.5 कप;15 g
मक्का (साबुत);140 g;0.5 बड़ी इकाई;15 g
शाहबलूत;;4 बड़ी इकाई;15 g
आलू;85 g;1 छोटी इकाई;15 g
आलू (उबला हुआ);70 g;0.5 कप;15 g
