Food;Quantity(g/ml);Quantity(item);Carbohydrates(g)
ワッフル（直径10x10）;;1 個;15 g
クエーカーオーツ（フレークパン）;20 g;2 大さじ;15 g
ケロッグスペシャルKシリアル;20 g;0.333 カップ;15 g
テッサロニキベーグル;;0.5 個;15 g
小さな丸い塩クラッカー;;5 枚;15 g
クレープ（直径20cm）;;0.5 枚;15 g
グリッシーニ（長さ20cm、直径1.2cm）;;2 本;15 g
グリッシーニ（長さ10cm、直径1.2cm）;;4 本;15 g
グリッシーニ（長さ10cm、直径0.6cm）;;6 本;15 g
クルトン;;1 カップ;15 g
マフィン;;0.5 個;15 g
クリームクラッカービスケット;;2 枚;15 g
プチブールビスケット;;2 枚;15 g
クリスピスラスク;;2 枚;15 g
パイ（直径15cm）;;0.5 個;15 g
ドリトスコーンチップス;25 g;;15 g
小さなラスク;;2 枚;15 g
メルバトースト（細長い）;;5 枚;15 g
パン粉;;3 大さじ;15 g
白パン（全種類）;30 g;1 枚;15 g
全粒ライ麦またはオート麦パン;30 g;1 枚;15 g
トーストパン;;1 枚;15 g
ハンバーガーバンズ;30 g;0.5 個;15 g
ホットドッグバン;30 g;0.5 個;15 g
小麦粉;20 g;2.5 大さじ;15 g
クスクス（調理済み）;60 g;0.333 カップ;15 g
コーンフレーク;;0.5 カップ;15 g
パスタ・オルゾ・ヌードル（調理済み）;60 g;0.333 カップ;15 g
小麦ふすま（茹で）;;3 大さじ;15 g
ポップコーン（電子レンジ）;;3 カップ;15 g
米（調理済み）白または玄米;60 g;0.333 カップ;15 g
キウイ;100 g;;15 g
パイナップル（生）;100 g;;15 g
梨;110 g;;15 g
アプリコット;150 g;;15 g
グレープフルーツ;330 g;;15 g
プラム（生）;140 g;;15 g
スイカ;200 g;;15 g
さくらんぼ;85 g;;15 g
マンゴー;160 g;;15 g
みかん;220 g;;15 g
りんご;120 g;;15 g
バナナ;120 g;;15 g
ネクタリン;140 g;;15 g
メロン;280 g;;15 g
オレンジ;118 g;;15 g
桃;110 g;;15 g
レーズン;17 g;;15 g
ぶどう;85 g;;15 g
いちご;170 g;;15 g
きゅうり;230 g;2 カップ;5 g
アーティチョーク（茹で）;55 g;0.33 カップ;5 g
にんじん（茹で）;90 g;1.5 カップ;5 g
にんじん（生）;52 g;0.5 カップ;5 g
ズッキーニ（茹で）;180 g;1 カップ;5 g
玉ねぎ（乾燥）;55 g;0.333 カップ;5 g
青ねぎ;75 g;0.75 カップ;5 g
カリフラワー（茹で）;120 g;1 カップ;5 g
カリフラワー（生）;100 g;1 カップ;5 g
白キャベツ（生）;86 g;1.33 カップ;5 g
白キャベツ（茹で）;90 g;0.5 カップ;5 g
赤キャベツ（生）;70 g;1 カップ;5 g
芽キャベツ;55 g;0.333 カップ;5 g
トマト;125 g;1 個;5 g
きのこ（生）;98 g;0.5 カップ;5 g
きのこ（茹で）;95 g;0.5 カップ;5 g
レタス（生）;135 g;1 カップ;5 g
アイスバーグレタス（生）;168 g;3 カップ;5 g
なす（焼き）;57 g;0.5 カップ;5 g
ブロッコリー（茹で）;80 g;0.5 カップ;5 g
オクラ（茹で）;70 g;0.5 カップ;5 g
ビーツ（茹で）;50 g;1 個;5 g
ピーマン（緑・生）;110 g;1 個;5 g
赤ピーマン（生）;82 g;0.5 カップ;5 g
リーキ（茹で）;65 g;0.5 カップ;5 g
ラディッシュ（生）;;1 カップ;5 g
セロリ（茹で）;125 g;0.75 カップ;5 g
ほうれん草（茹で）;135 g;0.75 カップ;5 g
アスパラガス（茹で）;120 g;8 本;5 g
青菜（茹で、全種類）;105 g;3/4 カップ;5 g
黄えんどう豆;75 g;0.5 カップ;15 g
ひよこ豆;75 g;0.5 カップ;15 g
豆;75 g;0.5 カップ;15 g
レンズ豆;75 g;0.5 カップ;15 g
皮むき豆（調理済み）;75 g;0.333 カップ;15 g
グリーンピース（調理済み）;100 g;0.5 カップ;15 g
さつまいも（焼き）;;0.5 中サイズ;15 g
とうもろこし（茹で）;;0.5 カップ;15 g
とうもろこし（丸ごと）;140 g;0.5 大サイズ;15 g
栗;;4 大サイズ;15 g
じゃがいも;85 g;1 小サイズ;15 g
じゃがいも（茹で）;70 g;0.5 カップ;15 g
マッシュポテト（1.5%牛乳使用）;87 g;0.5 カップ;15 g
さやいんげん（種あり、調理済み）;187 g;1.5 カップ;15 g
脱脂乳;240 ml;1 カップ;12 g
牛乳1%または1.5%脂肪またはバターミルク1.5%;240 ml;1 カップ;12 g
脱脂粉乳;80 ml;0.333 カップ;12 g
エバミルク（無脂肪）;120 ml;0.5 カップ;12 g
豆乳（無糖）;240 ml;1 カップ;12 g
ヨーグルト;180 g;1 カップ;12 g
牛乳2%脂肪;240 ml;1 カップ;12 g
2%牛乳のヨーグルト;180 g;1 カップ;12 g
全乳;240 ml;1 カップ;12 g
エバミルク（缶詰）;120 ml;1/2 カップ;12 g
ヤギ乳;240 ml;1 カップ;12 g
ケフィア;240 ml;1 カップ;12 g
