Food;Quantity(g/ml);Quantity(item);Carbohydrates(g)
华夫饼 (直径 10x10);;1 个;15 g
桂格燕麦 (麦片-面包);20 g;2 汤匙;15 g
家乐氏 Special K 麦片;20 g;0.333 杯;15 g
塞萨洛尼基贝果;;0.5 个;15 g
小圆咸饼干;;5 个;15 g
可丽饼 (直径 20cm);;0.5 个;15 g
面包棒 (长 20cm, 直径 1.2cm);;2 个;15 g
面包棒 (长 10cm, 直径 1.2cm);;4 个;15 g
面包棒 (长 10cm, 直径 0.6cm);;6 个;15 g
面包丁;;1 杯;15 g
玛芬蛋糕;;0.5 个;15 g
奶油夹心饼干;;2 个;15 g
小黄油饼干;;2 个;15 g
脆面包干;;2 个;15 g
派 (直径 15cm);;0.5 个;15 g
多力多滋玉米片;25 g;;15 g
小面包干;;2 个;15 g
长条梅尔巴吐司;;5 个;15 g
面包屑;;3 汤匙;15 g
白面包 (所有种类);30 g;1 片;15 g
全黑麦或燕麦面包;30 g;1 片;15 g
吐司面包;;1 片;15 g
汉堡面包;30 g;0.5 个;15 g
热狗面包;30 g;0.5 个;15 g
面粉;20 g;2.5 汤匙;15 g
库斯库斯 (熟);60 g;0.333 杯;15 g
玉米片;;0.5 杯;15 g
意面-米粒面 (熟);60 g;0.333 杯;15 g
麦麸 (煮);;3 汤匙;15 g
爆米花 (微波);;3 杯;15 g
米饭 (熟) 白米或糙米;60 g;0.333 杯;15 g
猕猴桃;100 g;;15 g
菠萝 (新鲜);100 g;;15 g
梨;110 g;;15 g
杏;150 g;;15 g
西柚;330 g;;15 g
李子 (新鲜);140 g;;15 g
西瓜;200 g;;15 g
樱桃;85 g;;15 g
芒果;160 g;;15 g
橘子;220 g;;15 g
苹果;120 g;;15 g
香蕉;120 g;;15 g
油桃;140 g;;15 g
甜瓜;280 g;;15 g
橙子;118 g;;15 g
桃子;110 g;;15 g
葡萄干;17 g;;15 g
葡萄;85 g;;15 g
草莓;170 g;;15 g
黄瓜;230 g;2 杯;5 g
洋蓟 (煮);55 g;0.33 杯;5 g
胡萝卜 (煮);90 g;1.5 杯;5 g
胡萝卜 (生);52 g;0.5 杯;5 g
西葫芦 (煮);180 g;1 杯;5 g
干洋葱;55 g;0.333 杯;5 g
青葱;75 g;0.75 杯;5 g
花椰菜 (煮);120 g;1 杯;5 g
花椰菜 (生);100 g;1 杯;5 g
白卷心菜 (生);86 g;1.33 杯;5 g
白卷心菜 (煮);90 g;0.5 杯;5 g
红卷心菜 (生);70 g;1 杯;5 g
抱子甘蓝;55 g;0.333 杯;5 g
番茄;125 g;1 个;5 g
蘑菇 (生);98 g;0.5 杯;5 g
蘑菇 (煮);95 g;0.5 杯;5 g
生菜 (生);135 g;1 杯;5 g
球生菜 (生);168 g;3 杯;5 g
茄子 (烤);57 g;0.5 杯;5 g
西兰花 (煮);80 g;0.5 杯;5 g
秋葵 (煮);70 g;0.5 杯;5 g
甜菜根 (煮);50 g;1 个;5 g
青椒 (生);110 g;1 个;5 g
红椒 (生);82 g;0.5 杯;5 g
韭葱 (煮);65 g;0.5 杯;5 g
小萝卜 (生);;1 杯;5 g
芹菜 (煮);125 g;0.75 杯;5 g
菠菜 (煮);135 g;0.75 杯;5 g
芦笋 (煮);120 g;8 个;5 g
绿叶蔬菜 (煮, 所有种类);105 g;3/4 杯;5 g
黄豌豆;75 g;0.5 杯;15 g
鹰嘴豆;75 g;0.5 杯;15 g
豆子;75 g;0.5 杯;15 g
小扁豆;75 g;0.5 杯;15 g
去皮豆子 (熟);75 g;0.333 杯;15 g
豌豆 (熟);100 g;0.5 杯;15 g
红薯 (烤);;0.5 个;15 g
玉米 (煮);;0.5 杯;15 g
玉米 (整根);140 g;0.5 个;15 g
栗子;;4 个;15 g
土豆;85 g;1 个;15 g
土豆 (煮);70 g;0.5 杯;15 g
土豆泥 (加1.5%牛奶);87 g;0.5 杯;15 g
带籽青豆 (熟);187 g;1.5 杯;15 g
脱脂牛奶;240 ml;1 杯;12 g
1%或1.5%脂肪牛奶或1.5%酪乳;240 ml;1 杯;12 g
脱脂奶粉;80 ml;0.333 杯;12 g
淡奶 (脱脂);120 ml;0.5 杯;12 g
豆浆 (无糖);240 ml;1 杯;12 g
酸奶;180 g;1 杯;12 g
2%脂肪牛奶;240 ml;1 杯;12 g
2%脂肪牛奶酸奶;180 g;1 杯;12 g
全脂牛奶;240 ml;1 杯;12 g
淡奶 (罐装);120 ml;1/2 杯;12 g
羊奶;240 ml;1 杯;12 g
开菲尔酸奶;240 ml;1 杯;12 g
